framing,degradation,mode,config,n,failures,mean_mbps,min_mbps,max_mbps,stddev_mbps,udp_tx_datagrams,udp_tx_ios,udp_rx_datagrams,udp_rx_ios,lost_packets,lost_bytes,cwnd,rtt_us,tx_batch,rx_batch,loss_pct
wt-datagram,wifi,upload,default,2,0,23.57,19.28,27.86,6.07,28370,4309,3853,3854,7906,9698028,120464,21986,6.58,1.00,24.54
wt-datagram,wifi,bidi,default,2,0,14.61,8.86,20.35,8.12,13924,2390,15998,16000,2934,3731225,57050,23314,5.83,1.00,9.81
wt-datagram,4g,download,default,2,0,1.27,1.05,1.50,0.32,1426,1426,2311,2312,60,0,12000,98990,1.00,1.00,1.61
wt-datagram,4g,upload,default,2,0,1.02,1.00,1.05,0.04,1824,1628,1049,1050,158,204104,25122,100834,1.12,1.00,5.50
wt-datagram,4g,bidi,default,2,0,1.38,0.91,1.84,0.66,3162,1682,2762,2762,309,391402,25852,99337,1.88,1.00,5.22
wt-datagram,3g,download,default,0,2,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0
wt-datagram,3g,upload,default,0,2,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0
wt-datagram,3g,bidi,default,0,2,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0
wt-singlestream,localhost,download,default,2,0,437.45,361.50,513.41,107.42,19770,19770,309180,309180,308,64,6975,3740,1.00,1.00,0.09
wt-singlestream,localhost,upload,default,2,0,391.01,350.67,431.36,57.06,276582,276582,14860,14862,294,426700,214853,2676,1.00,1.00,0.10
wt-singlestream,localhost,bidi,default,2,0,168.75,152.27,185.24,23.31,120094,120094,25482,25483,278,401416,235887,3497,1.00,1.00,0.19
wt-singlestream,lan,download,default,2,0,448.98,411.77,486.18,52.62,10608,10608,317888,317890,1012,5477,2904,8434,1.00,1.00,0.31
wt-singlestream,lan,upload,default,2,0,451.10,446.48,455.71,6.53,319551,33125,8874,8875,4,0,67576528,12657,9.65,1.00,0.00
wt-singlestream,lan,bidi,default,2,0,224.36,204.50,244.22,28.09,76038,8279,91240,91241,472,672088,2728754,3437,9.18,1.00,0.28
wt-singlestream,wifi,download,default,2,0,44.94,42.73,47.16,3.13,2782,2778,32749,32750,0,0,12000,170624,1.00,1.00,0.00
wt-singlestream,wifi,upload,default,2,0,37.55,37.25,37.86,0.43,27381,3491,2544,2545,0,0,7436418,178076,7.84,1.00,0.00
wt-singlestream,wifi,bidi,default,2,0,29.11,29.01,29.20,0.13,22860,4479,22896,22898,0,0,5444310,255625,5.10,1.00,0.00
wt-singlestream,4g,download,default,2,0,3.69,3.13,4.25,0.79,608,600,3332,3333,0,0,12000,1318779,1.01,1.00,0.00
wt-singlestream,4g,upload,default,2,0,3.88,3.21,4.56,0.95,3712,680,536,537,0,0,2375869,2468972,5.46,1.00,0.00
wt-singlestream,4g,bidi,default,2,0,3.11,3.04,3.18,0.10,3007,1023,2647,2648,0,0,2214714,1867944,2.94,1.00,0.00
wt-singlestream,3g,download,default,2,0,0.31,0.30,0.32,0.01,646,632,1052,1054,0,0,12000,6793844,1.02,1.00,0.00
wt-singlestream,3g,upload,default,2,0,0.30,0.29,0.32,0.02,1084,1084,599,600,0,0,776623,16035562,1.00,1.00,0.00
wt-singlestream,3g,bidi,default,2,0,0.29,0.27,0.30,0.02,1224,1224,985,986,0,0,736226,12095148,1.00,1.00,0.00
